date,mine_id,zone_id,shift,planned_tonnage,actual_tonnage,shortfall_tonnage,ore_grade_mined,hauling_trips,blasting_status,blasting_delay_hours,timestamp
2026-02-12,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,387,356,31,42.2,52,Completed,0.0,2026-02-12T08:00:00Z
2026-02-12,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,347,362,0,42.5,46,Completed,0.0,2026-02-12T16:00:00Z
2026-02-12,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,352,329,23,40.7,55,Completed,0.0,2026-02-13T00:00:00Z
2026-02-13,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,345,331,14,43.5,33,Completed,0.0,2026-02-13T08:00:00Z
2026-02-13,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,340,330,10,39.0,40,Delayed,1.4,2026-02-13T16:00:00Z
2026-02-13,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,410,423,0,41.4,50,Completed,0.0,2026-02-14T00:00:00Z
2026-02-14,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,403,411,0,42.7,37,Completed,0.0,2026-02-14T08:00:00Z
2026-02-14,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,377,370,7,42.9,54,Completed,0.0,2026-02-14T16:00:00Z
2026-02-14,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,354,359,0,39.7,46,Completed,0.0,2026-02-15T00:00:00Z
2026-02-15,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-A,411,431,0,40.5,42,Completed,0.0,2026-02-15T08:00:00Z
2026-02-15,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,365,374,0,37.9,50,Completed,0.0,2026-02-15T16:00:00Z
2026-02-15,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,367,369,0,37.7,40,Completed,0.0,2026-02-16T00:00:00Z
2026-02-16,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,376,384,0,38.6,54,Completed,0.0,2026-02-16T08:00:00Z
2026-02-16,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,383,376,7,38.2,39,Completed,0.0,2026-02-16T16:00:00Z
2026-02-16,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,360,370,0,42.5,42,Completed,0.0,2026-02-17T00:00:00Z
2026-02-17,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-A,378,348,30,42.6,43,Completed,0.0,2026-02-17T08:00:00Z
2026-02-17,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,355,359,0,41.2,46,Completed,0.0,2026-02-17T16:00:00Z
2026-02-17,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,397,386,11,37.8,44,Delayed,0.9,2026-02-18T00:00:00Z
2026-02-18,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,412,416,0,41.9,52,Completed,0.0,2026-02-18T08:00:00Z
2026-02-18,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,404,413,0,43.3,40,Completed,0.0,2026-02-18T16:00:00Z
2026-02-18,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,398,404,0,43.2,51,Delayed,1.1,2026-02-19T00:00:00Z
2026-02-19,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,418,402,16,43.2,40,Completed,0.0,2026-02-19T08:00:00Z
2026-02-19,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,378,375,3,37.6,41,Completed,0.0,2026-02-19T16:00:00Z
2026-02-19,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,343,325,18,39.9,55,Completed,0.0,2026-02-20T00:00:00Z
2026-02-20,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,391,395,0,42.0,32,Completed,0.0,2026-02-20T08:00:00Z
2026-02-20,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,416,436,0,43.7,36,Completed,0.0,2026-02-20T16:00:00Z
2026-02-20,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-C,345,330,15,37.7,43,Completed,0.0,2026-02-21T00:00:00Z
2026-02-21,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,345,347,0,42.6,32,Completed,0.0,2026-02-21T08:00:00Z
2026-02-21,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,406,388,18,43.2,38,Completed,0.0,2026-02-21T16:00:00Z
2026-02-21,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-C,364,365,0,41.6,48,Completed,0.0,2026-02-22T00:00:00Z
2026-02-22,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-A,360,343,17,39.8,53,Completed,0.0,2026-02-22T08:00:00Z
2026-02-22,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-B,415,418,0,40.5,47,Completed,0.0,2026-02-22T16:00:00Z
2026-02-22,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,375,361,14,37.6,52,Delayed,1.1,2026-02-23T00:00:00Z
2026-02-23,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,380,374,6,37.6,52,Delayed,0.8,2026-02-23T08:00:00Z
2026-02-23,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-B,374,388,0,40.5,33,Completed,0.0,2026-02-23T16:00:00Z
2026-02-23,MINE_BALAGHAT_01,ZONE_CENTRAL_B,Shift-C,390,406,0,37.9,45,Completed,0.0,2026-02-24T00:00:00Z
2026-02-24,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,400,393,7,40.3,40,Completed,0.0,2026-02-24T08:00:00Z
2026-02-24,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-B,390,372,18,39.1,51,Completed,0.0,2026-02-24T16:00:00Z
2026-02-24,MINE_BALAGHAT_01,ZONE_NORTH_A,Shift-C,407,423,0,43.4,38,Completed,0.0,2026-02-25T00:00:00Z
2026-02-25,MINE_BALAGHAT_01,ZONE_SOUTH_C,Shift-A,359,357,2,43.6,40,Completed,0.0,2026-02-25T08:00:00Z
